02/18/22 02:42:21:121 | [INFO] |  |  |  | AdobeGCCustomHook |  |  | 8796 | *********** Adobe GCCustomHook Launched ************
02/18/22 02:42:21:122 | [INFO] |  |  |  | AdobeGCCustomHook |  |  | 8796 | Initiating workflow
02/18/22 02:42:21:122 | [INFO] |  |  |  | AdobeGCCustomHookWinImpl |  |  | 8796 | AdobeGCCustomHookWinImpl insatnce created
02/18/22 02:42:21:783 | [INFO] |  |  |  | AdobeGCCustomHook |  |  | 8796 | Return code: 0
02/18/22 02:42:21:784 | [INFO] |  |  |  | AdobeGCCustomHook |  |  | 8796 | *********** Adobe GCCustom Hook Ended ************
02/18/22 02:42:22:090 | [INFO] |  |  |  | AdobeGCCustomHook |  |  | 10744 | *********** Adobe GCCustomHook Launched ************
02/18/22 02:42:22:090 | [INFO] |  |  |  | AdobeGCCustomHook |  |  | 10744 | Initiating workflow
02/18/22 02:42:22:095 | [INFO] |  |  |  | AdobeGCCustomHookWinImpl |  |  | 10744 | AdobeGCCustomHookWinImpl insatnce created
02/18/22 02:42:22:365 | [INFO] |  |  |  | AdobeGCCustomHook |  |  | 10744 | Return code: 0
02/18/22 02:42:22:365 | [INFO] |  |  |  | AdobeGCCustomHook |  |  | 10744 | *********** Adobe GCCustom Hook Ended ************
02/18/22 02:42:22:647 | [INFO] |  |  |  | AdobeGCCustomHook |  |  | 13324 | *********** Adobe GCCustomHook Launched ************
02/18/22 02:42:22:648 | [INFO] |  |  |  | AdobeGCCustomHook |  |  | 13324 | Initiating workflow
02/18/22 02:42:22:648 | [INFO] |  |  |  | AdobeGCCustomHookWinImpl |  |  | 13324 | AdobeGCCustomHookWinImpl insatnce created
02/18/22 02:42:23:041 | [INFO] |  |  |  | AdobeGCCustomHook |  |  | 13324 | Return code: 0
02/18/22 02:42:23:041 | [INFO] |  |  |  | AdobeGCCustomHook |  |  | 13324 | *********** Adobe GCCustom Hook Ended ************
02/18/22 02:42:23:250 | [INFO] |  |  |  | AdobeGCCustomHook |  |  | 6920 | *********** Adobe GCCustomHook Launched ************
02/18/22 02:42:23:250 | [INFO] |  |  |  | AdobeGCCustomHook |  |  | 6920 | Initiating workflow
02/18/22 02:42:23:250 | [INFO] |  |  |  | AdobeGCCustomHookWinImpl |  |  | 6920 | AdobeGCCustomHookWinImpl insatnce created
02/18/22 02:42:23:688 | [INFO] |  |  |  | AdobeGCCustomHook |  |  | 6920 | Return code: 0
02/18/22 02:42:23:689 | [INFO] |  |  |  | AdobeGCCustomHook |  |  | 6920 | *********** Adobe GCCustom Hook Ended ************
02/18/22 02:42:23:881 | [INFO] |  |  |  | AdobeGCCustomHook |  |  | 5084 | *********** Adobe GCCustomHook Launched ************
02/18/22 02:42:23:882 | [INFO] |  |  |  | AdobeGCCustomHook |  |  | 5084 | Initiating workflow
02/18/22 02:42:23:882 | [INFO] |  |  |  | AdobeGCCustomHookWinImpl |  |  | 5084 | AdobeGCCustomHookWinImpl insatnce created
02/18/22 02:42:24:458 | [INFO] |  |  |  | AdobeGCCustomHook |  |  | 5084 | Return code: 0
02/18/22 02:42:24:458 | [INFO] |  |  |  | AdobeGCCustomHook |  |  | 5084 | *********** Adobe GCCustom Hook Ended ************
02/18/22 02:42:24:714 | [INFO] |  |  |  | AdobeGCCustomHook |  |  | 2112 | *********** Adobe GCCustomHook Launched ************
02/18/22 02:42:24:715 | [INFO] |  |  |  | AdobeGCCustomHook |  |  | 2112 | Initiating workflow
02/18/22 02:42:24:715 | [INFO] |  |  |  | AdobeGCCustomHookWinImpl |  |  | 2112 | AdobeGCCustomHookWinImpl insatnce created
02/18/22 02:42:25:519 | [INFO] |  |  |  | AdobeGCCustomHook |  |  | 2112 | Return code: 0
02/18/22 02:42:25:519 | [INFO] |  |  |  | AdobeGCCustomHook |  |  | 2112 | *********** Adobe GCCustom Hook Ended ************
02/18/22 02:42:25:863 | [INFO] |  |  |  | AdobeGCCustomHook |  |  | 9776 | *********** Adobe GCCustomHook Launched ************
02/18/22 02:42:25:863 | [INFO] |  |  |  | AdobeGCCustomHook |  |  | 9776 | Initiating workflow
02/18/22 02:42:25:863 | [INFO] |  |  |  | AdobeGCCustomHookWinImpl |  |  | 9776 | AdobeGCCustomHookWinImpl insatnce created
02/18/22 02:42:26:578 | [INFO] |  |  |  | AdobeGCCustomHook |  |  | 9776 | Return code: 0
02/18/22 02:42:26:578 | [INFO] |  |  |  | AdobeGCCustomHook |  |  | 9776 | *********** Adobe GCCustom Hook Ended ************
02/18/22 02:42:27:050 | [INFO] |  |  |  | AdobeGCCustomHook |  |  | 3456 | *********** Adobe GCCustomHook Launched ************
02/18/22 02:42:27:050 | [INFO] |  |  |  | AdobeGCCustomHook |  |  | 3456 | Initiating workflow
02/18/22 02:42:27:050 | [INFO] |  |  |  | AdobeGCCustomHookWinImpl |  |  | 3456 | AdobeGCCustomHookWinImpl insatnce created
02/18/22 02:42:27:182 | [INFO] |  |  |  | AdobeGCCustomHook |  |  | 3456 | Return code: 003/02/22 08:30:14:548 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 18260 | ***********AdobeGC Updater library invoked = 7.6.0.52 ************
03/02/22 08:30:14:549 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 9160 | ***********AdobeGC Updater library invoked = 7.6.0.52 ************
03/02/22 08:30:14:549 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 16888 | ***********AdobeGC Updater library invoked = 7.6.0.52 ************
03/02/22 08:30:14:808 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 18260 | Perform WF started
03/02/22 08:30:14:808 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 16888 | Perform WF started
03/02/22 08:30:14:809 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 9160 | Perform WF started
03/02/22 08:30:14:940 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 16888 | Perform WF completed
03/02/22 08:30:14:940 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 9160 | Perform WF completed
03/02/22 08:30:14:940 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 18260 | Perform WF completed
03/02/22 08:30:14:941 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 16888 | ***********AdobeGC Updater library End*******************
03/02/22 08:30:14:941 | [DEBUG] |  |  |  | AGSService |  |  | 7428 | Trying to acquire the semaphore
03/02/22 08:30:14:941 | [DEBUG] |  |  |  | AdobeGCUpdaterCFU |  |  | 17856 | Trying to acquire the semaphore
03/02/22 08:30:14:941 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 9160 | ***********AdobeGC Updater library End*******************
03/02/22 08:30:14:941 | [DEBUG] |  |  |  | AGSService |  |  | 17716 | Trying to acquire the semaphore
03/02/22 08:30:14:941 | [INFO] |  |  |  | AGSService |  |  | 18260 | ***********AdobeGC Updater library End*******************
03/02/22 08:30:14:941 | [INFO] |  |  |  | AGSService |  |  | 16888 | Thread cfu launched...
03/02/22 08:30:14:942 | [DEBUG] |  |  |  | AGSService |  |  | 7428 | Semaphore acquired
03/02/22 08:30:15:418 | [INFO] |  |  |  | AdobeGCHostfileValidation |  |  | 7428 | Hostfile opened successfully
03/02/22 08:30:15:418 | [DEBUG] |  |  |  | AdobeGCHostfileValidation |  |  | 7428 | Checking if gocart server url is blocked in hostfile
03/02/22 08:30:15:755 | [INFO] |  |  |  | SLCoreService |  |  | 7428 | Starting up SLCore 2.0 Release (build 2.0.1.360321).
03/02/22 08:30:16:021 | [ERROR] |  |  |  | SLCoreService |  |  | 7428 | user based licensing: 0
03/02/22 08:30:16:102 | [INFO] |  |  |  | SLCoreService |  |  | 7428 | Service construction took 265.7 ms and succeed.
03/02/22 08:30:34:914 | [INFO] |  |  |  | SLCoreService |  |  | 7428 | Shutting down SLCore 2.0 Release (build 2.0.1.360321).
03/02/22 08:30:34:942 | [INFO] |  |  |  | SLCoreService |  |  | 7428 | Service destruction took 27.9 ms and succeed.
03/02/22 08:30:34:942 | [ERROR] |  |  |  | AdobeGCIALWrapper |  |  | 7428 | Fetching server URL from dispatch table
03/02/22 08:30:46:170 | [INFO] |  |  |  | AdobeGCIALWrapper |  |  | 7428 | AdobeIALClient 1.0 Release (build 1.0.6.3) initializing session...
